request_id;img_width;img_height;total_client_time_ms;client_read_time_ms;client_serialize_time_ms;send_time_ms;client_exec_time_ms;client_deserialize_time_ms;sla_ms;pipeline_demanda;node_cpu_free_pct;node_mem_free_pct;node_health_score;k1_total_ms;k1_wasm_ms;k1_network_receive_ms;k1_network_send_ms;k2_total_ms;k2_wasm_ms;k2_network_receive_ms;k2_network_send_ms;k3_total_ms;k3_wasm_ms;k3_network_receive_ms;k3_network_send_ms;Environment;usage
1;1024;1024;530.931559;8.247;75.609;75.454;312.049;50.702;15;1;97.8;59.8;157.6;357.0;18.0;167.0;169.0;;;;;;;;;Edge;3g
2;1024;1024;1007.9916440000001;10.097;74.055;367.303;506.933;40.673;15;2;88.34;59.02;147.36;;;;;812.0;250.0;387.0;173.0;;;;;Edge;3g
3;1024;1024;458.99832299999997;5.296;40.865;106.099;260.177;27.274;15;3;92.85;57.38;150.23;;;;;;;;;336.0;16.0;144.0;173.0;Edge;3g
4;1024;1024;860.926673;5.424;45.005;168.422;598.379;26.831;15;1|2;91.45;56.98;148.42;247.0;15.0;181.0;49.0;505.0;241.0;110.0;152.0;;;;;Edge;3g
5;1024;1024;671.8246780000001;8.953;77.454;90.983;450.283;37.485;15;1|3;91.84;56.84;148.68;241.0;13.0;178.0;47.0;;;;;297.0;15.0;81.0;200.0;Edge;3g
6;1024;1024;1008.433629;12.0;77.786;164.232;700.852;40.06;15;2|3;92.9;56.71;149.61;;;;;556.0;300.0;198.0;55.0;290.0;19.0;99.0;169.0;Edge;3g
7;1024;1024;1012.8752249999999;5.947;25.927;194.163;751.362;29.058;15;1|2|3;86.04;56.43;142.46;306.0;15.0;238.0;51.0;380.0;253.0;83.0;42.0;270.0;11.0;93.0;163.0;Edge;3g
8;1920;1920;1794.6357150000001;119.456;275.065;338.366;805.816;182.383;15;1;91.51;53.9;145.41;1046.0;89.0;511.0;443.0;;;;;;;;;Edge;3g
9;1920;1920;2685.1850329999997;29.057;257.806;499.825;1781.689;97.951;15;2;89.34;53.15;142.49;;;;;2097.0;1110.0;641.0;343.0;;;;;Edge;3g
10;1920;1920;1584.354668;34.803;305.278;448.282;671.45;107.761;15;3;91.02;51.65;142.67;;;;;;;;;1027.0;55.0;598.0;372.0;Edge;3g
11;1920;1920;2844.3484200000003;34.049;265.416;549.035;1876.002;102.498;15;1|2;87.9;49.06;136.97;967.0;59.0;717.0;189.0;1452.0;834.0;316.0;300.0;;;;;Edge;3g
12;1920;1920;1761.0650799999999;38.691;252.813;476.801;892.415;75.378;15;1|3;88.46;48.37;136.82;842.0;46.0;646.0;147.0;;;;;559.0;53.0;273.0;232.0;Edge;3g
13;1920;1920;3054.234509;34.803;255.728;478.042;2154.087;112.354;15;2|3;90.27;48.32;138.59;;;;;1817.0;1048.0;655.0;112.0;722.0;38.0;228.0;454.0;Edge;3g
14;1920;1920;3167.750292;31.511;249.474;388.116;2345.048;133.298;15;1|2|3;84.08;47.01;131.09;777.0;52.0;577.0;144.0;1224.0;853.0;268.0;100.0;751.0;37.0;191.0;521.0;Edge;3g
15;3840;2160;4126.087254;318.887;434.934;510.753;2175.864;498.839;15;1;86.69;43.89;130.58;2477.0;124.0;693.0;1657.0;;;;;;;;;Edge;3g
16;3840;2160;4893.849167;66.645;511.71;728.016;3284.945;269.624;15;2;86.02;43.09;129.11;;;;;3698.0;1991.0;958.0;746.0;;;;;Edge;3g
17;3840;2160;4028.03119;35.532;241.904;699.01;2797.862;225.069;15;3;61.03;35.45;96.48;;;;;;;;;3216.0;147.0;912.0;2153.0;Edge;3g
18;3840;2160;3830.694446;26.962;177.869;472.785;2799.746;323.563;15;1|2;83.33;34.9;118.23;931.0;79.0;614.0;236.0;2322.0;1354.0;361.0;605.0;;;;;Edge;3g
19;3840;2160;3675.569679;66.629;495.783;640.818;2222.139;221.243;15;1|3;87.32;34.73;122.05;1420.0;105.0;924.0;390.0;;;;;1601.0;84.0;671.0;844.0;Edge;3g
20;3840;2160;5637.703552999999;64.74;507.195;796.864;3996.731;234.622;15;2|3;79.84;34.04;113.89;;;;;3089.0;1836.0;1024.0;226.0;1553.0;96.0;410.0;1045.0;Edge;3g
21;3840;2160;6302.896364;66.073;524.698;751.525;4686.442;240.571;15;1|2|3;83.52;33.61;117.13;1384.0;96.0;972.0;313.0;2672.0;1921.0;500.0;248.0;1515.0;87.0;406.0;1021.0;Edge;3g
22;224;224;135.679172;19.831;4.535;16.907;76.135;5.589;15;1;80.9;33.92;114.82;85.0;1.0;34.0;47.0;;;;;;;;;Edge;3g
23;224;224;108.44335099999999;0.338;1.507;23.494;78.425;3.146;15;2;92.85;33.79;126.64;;;;;79.0;12.0;26.0;39.0;;;;;Edge;3g
24;224;224;109.164031;0.32;5.692;26.785;68.929;2.518;15;3;91.5;33.82;125.33;;;;;;;;;80.0;1.0;39.0;37.0;Edge;3g
25;224;224;121.255842;0.429;5.86;26.374;77.335;8.183;15;1|2;93.73;33.77;127.5;29.0;0.0;20.0;7.0;56.0;12.0;8.0;33.0;;;;;Edge;3g
26;224;224;185.34215600000002;0.419;7.522;28.193;139.702;5.14;15;1|3;93.46;33.75;127.2;72.0;1.0;40.0;29.0;;;;;79.0;2.0;13.0;59.0;Edge;3g
27;224;224;137.539267;0.327;7.476;29.282;94.373;3.365;15;2|3;90.84;33.7;124.54;;;;;57.0;19.0;27.0;9.0;73.0;4.0;6.0;60.0;Edge;3g
28;224;224;176.573439;0.894;4.206;37.075;126.917;4.809;15;1|2|3;90.59;33.7;124.29;53.0;1.0;38.0;11.0;50.0;19.0;11.0;18.0;59.0;3.0;17.0;36.0;Edge;3g
29;1024;1024;632.082234;55.93;71.97;128.069;268.074;67.982;15;1;91.61;56.4;148.01;386.0;16.0;182.0;183.0;;;;;;;;;Edge;2g
30;1024;1024;852.958857;3.985;80.501;111.232;595.656;24.171;15;2;85.39;55.35;140.74;;;;;694.0;309.0;190.0;193.0;;;;;Edge;2g
31;1024;1024;515.802279;4.082;32.624;182.515;257.886;32.656;15;3;84.15;53.6;137.75;;;;;;;;;430.0;17.0;232.0;177.0;Edge;2g
32;1024;1024;1034.9465819999998;6.109;63.533;122.364;803.978;31.321;15;1|2;85.91;53.44;139.35;279.0;17.0;195.0;64.0;699.0;347.0;101.0;248.0;;;;;Edge;2g
33;1024;1024;1061.368813;8.371;73.936;253.5;678.538;39.285;15;1|3;79.57;52.83;132.39;503.0;23.0;369.0;108.0;;;;;526.0;21.0;147.0;349.0;Edge;2g
